Gold Category	Preticted	Utterance
+	-	Cute idea... salesgirl Linda Smith (Yolande Donlan) inherits a teeny tiny little county of Lampidorra. That country, which wasn't even in North America, was made the 49th state... (of course, there were only 48 states at the time, since this was made in 1952...) Linda travels to the country she has inherited, and we follow her along as she tries to figure out what to do with this strange country and its even quirkier people. At one point, she sings a song that she claims is from her people the Navajo, and it gets ever-more sillier from there.... although Yolande Donlan's heavy lipstick and omni-present smile never get ruffled or shmeared. There are other songs scattered through-out as the citizens sing to welcome their new princess. Filmed in a glorious British version of technicolor, or some such equivalent, about the only big name here is Dirk Bogarde as British subject Tony Craig, cheese vendor. Bogarde made a big splash in the UK film industry after serving in the war, and was even knighted by QE II. Craig and ""the new princess"" keep bumping into each other, and their adventures become more intertwined as Lampidorra's financial problems worsen... Fun little farce....along the lines of Marx Brothers film. Also note that Donlan later married Val Guest, the writer and director of our little project, and stayed married for 50 years! Guest was better known for writing and directing his sci-fi flicks, in both the UK & the US. 
+	-	A well-made run-of-the-mill movie with a tragic ending. Pluses: The way the story moves - begins with Soorya struggling to live followed by a long flashback about why he's there. The Music. A disinterested look at the life of policemen. Minuses: The violence and the gore, but I guess they add to the realistic effects. Still, having people's heads chopped off and sent in boxes and sacks could have been avoided.<br /><br />No complaints - 7/10 
+	-	This is a great, ridiculous horror movie that captures the essence of the mid to late 80s' obsession with how evil metal music supposedly was. I can remember being freaked out by metal teens when I was a kid. It doesn't help that I found a desecrated grave in my hometown's graveyard when I was ten. Turns out this weird metal kid had dug up some old bodies and used their bones in some weird sacrifice to satan. So maybe stuff like deterred me from metal for awhile, but I love it now, as a 24 year old.<br /><br />I bought this DVD used for 6 bucks and I expected it to suck due to the lame cover, but to my surprise, it ruled. It is all about the extreme demonic power of metal. And you gotta love a scene where a guitar shoots lazers and vaporizes headbangers in the crowd. This movie is awesome, if you love 80s metal and bad movies, this one's for you. 9/10! 
+	-	Very typical Almodóvar of the time and, in its own way, no less funny than many of his later works. And why is that? There is nothing to be provoked or shocked about, and I guess any such effect is more coincidental than intentional. No, the great humor stems from an underlying, almost surreal, absurdity that is woven into the scenery: The characters' nearly complete lack of taboo. It's the same kind of 'comic suspense' you find in his later works, though you'll find it in a more rough version here. He's building up for masterpieces to come, but is not yet there.<br /><br />The sole reviewer who commented on this movie before I did, claimed that it had to be a ""very select"" group of people who'd find this movie hilarious. I do. 
+	-	I was stunned by this film. Afterwards, I didn't even want to see any films for a long time- any other film would be so unsatisfying by comparison.<br /><br />For many, it may be the worst of Antonioni- very slow, without an engaging conventional story line, microscopic examinations of human emotions and interactions- and the worst of Wenders- verbose, confused transcendentalism. It is composed of short distinct episodes linked by Wenders' typical meandering hero's stream of consciousness, so it doesn't produce the temporary oblivion of escapist cinema.<br /><br />But for fans, the worst is the best and the disjointed story line is sketching a single poetic image that stretches across the film. Wenders and Antonioni create a discourse between their segments that seeks out the heart of things.<br /><br /> 
+	-	Lady and the tramp ii: scamp's adventure i think is a good movie but i think the first lady and the tramp movie is better because it is the original and i would think that the original movies compared to the sequeals is better. Lady and the tramp ii takes off after the original, but this time it's junior's turn, Lady and Tramp's youngster (scamp) always hates been treated with the things that has to be done with him, following the rules in the house, taking baths all the time and taking things nice and easy, scamp gets angry and runs away with a pack of dogs that are left off the loose. Scamp meets another dog called Angel, they both get along fine and do the things scamp's mother and father did, having an italian meal (Spagetthi and Meatballs etc:)Afterwards, Scamp realises that he is loved by his family especial his pal, which is the baby, scamp comes back and Angel is joined in the family. I give this movie 10 out of 10. 
+	-	I also saw this at the cinema in the 80s and have never forgotten it, even though I have never seen it again anywhere. <br /><br />I don't know whether if I did see it now it would seem dated, but remembering the storyline and comparing it to some of the terrible modern films I've seen on Zone Horror I should think it would stand up very well.<br /><br />I can still remember his coffin sliding out and opening up and all the dead bodies becoming reanimated, and the blue lightning. Having seen hundreds of horror movies and still remembering this one, it must be good. 
+	-	The first hour or so of the movie was mostly boring to say the least. However it improved afterwards as the Valentine Party commenced. Apart from the twist as to the identity of the killer in the very end, the hot bath murder scene was one of the few relatively memorable aspects of this movie. The scene at the garden with Kate was well shot and so was the very last scene (the 'twist'). In those scenes, there was some genuine suspense and thrills and the hot bath murder scene had a nasty (the way slashers should be) edge to it. The earlier murders are frustratingly devoid of gore. 
+	-	Halloween 666 (1995) The producer's cut review!<br /><br />Halloween 666 starts of with a recap of the horrific ending to Part five. If you thought the last chapter was dark, this one will really blow your mind. A mysterious ""Man in Black"" has raided the Haddonfield Police Department freeing Micheal Myers. In the process poor Jamie Lloyd was abducted by strange cultists. What they want with her? Who knows, but let's just say her long suffering will end soon. Doctor Loomis is back spending the rest of his twilight years trying to stop Michael Myers from killing any more innocents (good luck). A friend of Loomis, Doctor Wynn comes back after a four sequel hiatus to help the good doctor. Another old face from part one guest stars as well.<br /><br />This dark and dreary sequel was dismantled during the post production editing. For some reason the distributors felt that the final product wasn't worth the average horror film watcher's time. So they decide to dumb it down. Then after having the film sit on the shelf for several months it laid an egg at the box office. No matter what they did to the film, they made it worse. They should have left well enough alone. Hey, the film company knows better than the filmmakers now....don't they?<br /><br />Producer's Cut :Highly recommended <br /><br />Released version: Not recommended 
+	-	Child 'Sexploitation' is one of the most serious issues facing our world today and I feared that any film on the topic would jump straight to scenes of an explicitly sexual nature in order to shock and disturb the audience. After having seen both 'Trade' and 'Holly', one film moved me to want to actually see a change in international laws. The other felt like a poor attempt at making me cry for five minutes with emotive music and the odd suicide. <br /><br />I do not believe that turning this issue into a Hollywood tear jerker is a useful or necessary strategy to adopt and I must commend the makes of 'Holly' for engaging subtly but powerfully with the terrible conditions these children are sadly forced to endure. 'Trade' wavered between serious and stupid with scenes involving the death of a cat coming after images that represented children being forced to commit some horrendous acts. I found this unengaging and at times offensive to the cause. If I had wanted a cheap laugh I would not have signed up for a film on child trafficking. <br /><br />For anyone who would like to watch a powerful film that actually means something I would suggest saving the money on the cinema ticket for the release of 'Holly'. 
+	-	If you want to watch a movie and feel good about watching it, then Tigerland is the film for you. I love this movie from top to bottom. This movie's picture-perfect scenes look so real; it's almost like a documentary of something that happened in real life but with drama. Boy, I tell you... REAL drama they actually real ""fought"" in one of the scenes (get the DVD listen to the commentary its not obvious). I see this film as a bunch of desperate young men trying to escape an ill-fated destiny, after watching Saving Private Ryan I have an a appreciation of what an ""ill-fated destiny"" is and know exactly how the men in the film feel. I see this movie as a crossbreed between ""Stand By Me"" and ""Saving Private Ryan."" What do men do when they are with a situation that's ""hard pressed"" in real life? Some men go crazy, some men cry, some men through fists, others do drugs, some randomly sleep with hookers ruthlessly trying to eradicate the meaning of love from their life, some try drink the pain away, some jump off buildings or bridges, some feel guilty and others feel so much agony it makes them so sick they collapse - physically. This movie has all those desperate emotions rolled into one ball. But don't get me wrong its not depressing movie, its realistic, its a very very humorous movie, the cocky and funny Bozz (Collin's Character) lights it all up, and on top of that there are about 5 female actresses in the movie; I'll let you figure out what their in there for! With dialogue, war/action sequences, picture perfect scenes along with appropriate music; this movie has it all, like I said: from top to bottom. I don't why Tigerland is heavily under-credited. The best thing about owning the movie is that on the cover it says in big bold writing ""The best film of the year,"" and it absolutely falls nothing short of that. Keep the rare gems coming Hollywood, 10/10. 
+	-	I was taken to this film by a friend and was sceptical about a Swedish film with subtitles. However, I thoroughly enjoyed every minute of this beautiful film. The unnecessary cruelty that man is capable of was portrayed confidently without overwhelming images - although animal lovers may have to shield their eyes for a brief couple of seconds somewhere during the first 10 minutes. A traditional story of humility versus brutality and hope versus tragedy was illustrated from a satisfyingly fresh angle using a spectrum of characters with very natural flaws and features. I particularly liked how the film managed to address multiple aspects of hypocritical human behaviour that concern bias, discrimination and sanctimonious pretence. An absolute gem of a film that I will promote to all who will listen. 
+	-	On first watching this film it is hard to know quite what has happened, but on a subsequent viewing it become more clear. I enjoyed this movie. Dean Cain was excellent in the role of Bob. Lexa Doig's character was confusing to understand, at first, she was out to trap Bob but i really believe she landed up loving him although by then she had broken his heart. Dean Cain's performance was an usual excellent. He gets better with every film he does. My only question at the end of the film was what happened to Bob, Camilla and the baby. It was left for the viewer to decide 
+	-	I have seen The Running Man several times as I am a Stephen King fan and have all his movies but now it is even better because up until 2 days ago I didn't know about this website and I didn't realize that the Paul Michael Glaser that was involved with this movie was the same Paul Michael Glaser that I grow up watching on Starsky and Hutch television show. For me this is a pleasant surprise because I can't tell you how many times I cried when Starsky or Hutch got hurt. The episode where Starsky (Kill Starsky) almost died I cried so hard My dad had to turn away from the show. What to you expect of a kid at age 12. Now, I intentionally look for films and programs involving Paul or David Soul and anything that Stephen King has his hands on I'm so there!!!!!!!! Just got to say Happy birthday Paul!!!!! 
+	-	This may just be the most nostalgic journey back in time & through time to when one's childhood starts a journey to reminiscences back & forth onwards & upwards,forwards & backwards,up & down & all around.The boy Jimmy,H.R. Puffinstuff,Dr.Blinky,Cling & Clang,Ludicrous Lion,& even the evil Witchie Poo too through & through. The latter day inspirations of Lidsville,""The Brady Kids Saturday Morning Preview Special"" Sigmund & the Sea Monsters,and Land of the lost both the new & old are what this very show bridged the gap to as well as The Donny & Marie Show,The Brady Bunch Variety Hour a.k.a. Brady Bunch Hour & Even The Paul Lynde Halloween Special. Maybe even other things in between & Beyond the Buck just keeps on moving on & on & even beyond expectations & as well as unexpected bounds.Now as we get updated in March of '06 we know that Jack Wild's gone & so now it make's it even more symbolic for us to really get nostalgic.Including now in August of '06 both when Jack Wild guest stars as himself on Sigmund and The Sea Monsters as well as when on a latter episode H.R.Puffinstuff does too and to recall all of the other nostalgic journeys of all the Syd & Marty Kroft Characters as well including The H.R.Puffinstuff Goodtime Club;The Donny and Marie Show;The Brady Bunch Variety Hour a.k.a. The Brady Bunch Hour;etc. Truthfully,Stephen ""Steve"" G. Baer a.k.a. ""Ste"" of Framingham,Ma.USA. 
+	-	The original animated Dark Knight returns in this ace adventure movie that rivals Mask of Phantasm in its coolness. There's a lot of style and intelligence in Mystery of the Batwoman, so much more than Batman Forever or Batman and Robin.<br /><br />There's a new crime-fighter on the streets of Gotham. She dresses like a bat but she's not a grown-up Batgirl. And Batman is denying any affiliation with her. Meanwhile Bruce Wayne has to deal with the usual romances and detective work. But the Penguin, Bain and the local Mob makes things little more complicated.<br /><br />I didn't have high hopes for this 'un since being strongly let down but the weak Batman: Sub Zero (Robin isn't featured so much here!)but I was delighted with the imaginative and exciting set pieces, the clever plot and a cheeky sense of humor. This is definitely a movie no fan of Batman should be without. Keep your ears open for a really catchy song called 'Betcha Neva' which is featured prominently through-out.<br /><br />It's a shame the DVD isn't so great. Don't get me wrong there are some great features (the short 'Chase Me' is awesome) and a very cool Dolby 5.1 soundtrack but... the movie is presented in Pan and Scan. Batman: Mystery of the Batwoman was drawn and shot in 1.85:1 but this DVD is presented in 1.33:1 an in comparison to the widescreen clips shown on the features there IS picture cut off on both sides. I find this extremely annoying considering Mask of Phantasm was presented in anamorphic widescreen. Warner have had to re-release literally dozens of movies on DVD because people have complained about the lack of Original Aspect Ratio available on some titles. Why they chose to make that same mistake here again is beyond me.<br /><br />I would give this DVD 5/5 but the lack of OAR brings the overall score down to 4/5. It's a shame because widescreen would have completed a great DVD package. 
+	-	Let me say from the outset I'm not a particular fan of this kind of film, but Nightbreed holds a certain fascination for me with a message about perspective.<br /><br />Back in the old days, the folks who inhabit Midian would have been called Zombies, the undead. And according to what Clive Barker has given us certain members of human kind, in this Craig Sheffer are born with the potential to become part of that world.<br /><br />Psychiatrist David Cronenberg at first looking like the mild mannered professional has taken unto himself a fanatical mission to rid the world of the Nightbreed. He tricks the police into killing Sheffer, but Sheffer goes to a graveyard named Midian cemetery where the Nightbreed congregate and live underground. <br /><br />Sheffer has also left a girl friend, Anne Bobby, who still has feelings for him even after he's been killed and is now one of the undead. She tries in her own small way to be a bridge to humankind. <br /><br />Clive Barker's creatures are a pretty gruesome looking lot and are not particularly fond of humans. But it's plain to see that if humans left them alone, the Nightbreed in turn not bother with them.<br /><br />Your sympathies are definitely with the Nightbreed especially after seeing a fanatic like Cronenberg and redneck police chief Charles Haid in action.<br /><br />Clive Barker's been an out gay man for some time now and some have suggested to me that the Nightbreed is a metaphor for gay people. I can see where that would come in, especially since there are a whole lot of people who don't even think of gays as anything human because they're taught that way.<br /><br />Granted Nightbreed is pretty bloody with a lot of gratuitous violence, but it also does make you think and I do like the way Clive Barker does turn traditional theology on its head and makes Craig Sheffer a kind of messiah for the Nightbreed creatures. 
+	-	Duck_of_Death needs to watch this film again, as his major criticism is completely baseless. The film never once forgot about the time delay, and it was mentioned explicitly in a couple of places. The crew were never shown having conversations with mission control that didn't obey the time delay rules.<br /><br />One thing I did think was a bit far-fetched was the amount of risk involved - would a crew land on a planet on which pressure suits would only last two hours? I doubt it. Would a manned space ship go into a star's corona? I doubt it. Would humans land on a moon that was being bombarded with huge amounts of radiation? I doubt it. Also, the ship seemed overly sturdy. Would a ship designed like that risk atmospheric flight to slow it down? I doubt it. Would it survive being hit by comet debris? I doubt it. I think in both cases the stresses on the structure would be too much. But all-in-all, the unlikely scenarios were compensated by some nicely done special effects, good editing and production, and some good acting, especially by the actors portraying the ship's commander and the Russian cosmonaut. 
+	-	Seriously, I don´t really get why people here are bashing it. I mean,<br /><br />the idea of a killer snowman wreaking havoc on a tropical island paradise is pretty absurd. The good news is, the producers realized it and made it a comedy in the vein of Army of Darkness. <br /><br />Especially in the second half of the film, when the little killer snowballs attack, I laughed my ass off. For example, the put one of the little creeps into a blender (a la Gremlins 1) and mix it. After that, it morphs back into a snowball and squeals with a high pitched voice ""That was fun!"".<br /><br />Bottom line - incredible movie, rent it. 
+	-	I've been trying to find out about this series for ages! Thank you, IMDb! I saw this as a child and have never quite been able to get it out of my mind. As a 6-year old, of course, I was particularly struck by the episode of the cyclops, which was absolutely chilling (I talked about it so much that my older brother made me a cyclops out of a plastic cave man figurine, which I still have) What I also remember, though, was the atmosphere, which was unusual right from the beginning - mysterious, austere, and extremely authentic. When I read the original many years later I experienced that same sensation. It's a very hard thing to capture - and probably impossible in Hollywood. Every 'Odyssey' I've seen since has been an enormous let-down. The characters in this series seemed genuine, real people - ancient Greek people - and not some Hollywood stars in costumes. This is a real masterpiece! But - Why is it not better known? And why isn't it available on VHS or DVD? I would just love to have the chance to see this again! 
+	-	Barbra Streisand's first television special was simply fantastic! From her skit as a child to her medley of songs in a high-fashion department store -- everything was top-notch! It was easy to understand how this special received awards.<br /><br />Not muddled down by guest appearances, the focus remained on Barbra thoughout the entire production. 
+	-	In New York, Andy Hanson (Philip Seymour Hoffman) is an addicted executive of a real estate office that has embezzled a large amount for his addiction and expensive way of life with his wife Gina (Marisa Tomei). When an audit is scheduled in his department, he becomes desperate for money. His baby brother Hank Hanson (Ethan Hawke) is a complete loser that owes three months of child support to his daughter, and is having a love affair with Gina every Thursday afternoon. Andy plots a heist of the jewelry of their parent in a Saturday morning without the use of guns, expecting to find an old employee working and without financial damage to his parents, since the insurance company would reimburse the loss. On Monday morning, we would raise the necessary money he needs to cover his embezzlement. He invites Hank to participate, since he is very well known in the mall where the jewelry is located and could be recognized. However, Hank yellows and invites the thief Bobby Lasorda (Brian F. O'Byrne) to steal the store, but things go wrong when their mother Nanette (Rosemary Harris) comes to work as the substitute for the clerk and Bobby brings a hidden gun. Nanette reacts and kills Bobby but she is also lethally shot. After the death of Nanette, their father Charles Hanson (Albert Finney) decides to investigate the robbery with tragic consequences.<br /><br />""Before the Devil Knows You're Dead"" is a comedy of errors, disclosing a good story. The originality and the difference are in the screenplay, with a non-linear narrative à la ""Pulp Fiction"". The eighty-three year-old Sidney Lumet has another great work and it is impressive the longevity of this director. Philip Seymour Hoffman is awesome in the role of a dysfunctional man with traumatic relationship with his father that feels the world falling apart mostly because of his insecure and clumsy brother. Marisa Tomei is still impressively gorgeous and sexy, showing a magnificent body. The violent conclusion shows that the world is indeed an evil place. My vote is seven.<br /><br />Title (Brazil): ""Antes Que o Diabo Saiba Que Você Está Morto"" (""Before the Devil Knows You're Dead"") 
+	-	SPOILERS This is a gripping movie about grifters. But who is conning who here? When does the hunter turn into the prey? This gritty, dark movie is slow moving and seductive. It pulls you in and drags you down the proverbial garden path, only to waylay you just as you think you are safe.<br /><br />It has a riveting script, with good acting (at least from the leads). I didn't notice the background music, but it was never jarring, so it must have been done right.<br /><br />I was very surprised that I liked this movie, because I don't usually go for this genre but this one sucked me in and kept he hooked until the end. 
